feature,shap_value,feature_value
subdomain_depth,-2.2391968730379106,0.0
n_hyphens,2.221122749249759,2.0
path_len,-1.4360549785383974,1.0
url_len,-1.2143098055765602,26.0
n_digits,0.3672305681995038,0.0
host_len,-0.21173247214885904,17.0
shannon_entropy_url,0.11235680634653386,3.8150723
suspicious_token_present,-0.06094676890617398,0.0
query_len,-0.010582622219518199,0.0
n_special,-0.007826770564830932,0.0
has_ip,0.0,0.0
pct_encoded,0.0,0.0
has_at,0.0,0.0
double_slash_in_path,0.0,0.0
is_shortener,0.0,0.0
