feature,rf_mean_shap,xgb_mean_shap,lgbm_mean_shap,rf_rank,xgb_rank,lgbm_rank,avg_rank
url_len,0.13173841690544222,2.7707558,3.870585546774751,1,1,1,1.0
path_len,0.11562357423297441,1.9673004,2.3962373169242603,2,2,3,2.3333333333333335
subdomain_depth,0.10984495381240225,1.582142,2.72546151097633,3,3,2,2.6666666666666665
shannon_entropy_url,0.07343402905574457,0.44394982,1.2330672308236785,4,4,4,4.0
n_hyphens,0.03773497579045052,0.432056,0.6722772909196089,6,5,5,5.333333333333333
host_len,0.040165353959642755,0.29046324,0.5521617514445875,5,6,6,5.666666666666667
n_digits,0.018924069742786855,0.15902029,0.28533050247093933,7,7,7,7.0
suspicious_token_present,0.0018790099376201272,0.039850123,0.12375213570208056,11,8,8,9.0
n_special,0.005441460498982757,0.0177109,0.011629737318292036,8,10,10,9.333333333333334
query_len,0.002309558069273117,0.028753977,0.0158982243101794,10,9,9,9.333333333333334
pct_encoded,5.5290581548091605e-05,0.0,0.0,13,12,12,12.333333333333334
has_ip,0.0,0.0,0.0,15,11,11,12.333333333333334
has_at,0.00014413814665382142,0.0,0.0,12,13,13,12.666666666666666
is_shortener,0.002712115726901276,0.0,0.0,9,15,15,13.0
double_slash_in_path,1.0666657230140591e-05,0.0,0.0,14,14,14,14.0
