url_len,host_len,path_len,query_len,n_digits,n_hyphens,n_special,subdomain_depth,has_ip,has_at,pct_encoded,double_slash_in_path,shannon_entropy_url,is_shortener,suspicious_token_present,label
16,7,1,0,0,0,0,0,0,0,0,0,3.5778196,0,0,0
20,11,1,0,0,0,0,0,0,0,0,0,3.4841838,0,0,0
21,12,1,0,0,0,0,0,0,0,0,0,3.88018,0,0,0
24,15,1,0,0,0,0,0,0,0,0,0,3.8035088,0,0,0
29,20,1,0,0,0,0,0,0,0,0,0,3.7883413,0,0,0
18,9,1,0,0,0,0,0,0,0,0,0,3.530493,0,0,0
19,10,1,0,0,0,0,0,0,0,0,0,3.5368867,0,0,0
20,11,1,0,0,0,0,0,0,0,0,0,3.8464394,0,0,0
25,16,1,0,0,0,0,0,0,0,0,0,3.9932697,0,0,0
21,12,1,0,0,0,0,0,0,0,0,0,3.7489948,0,0,0
17,8,1,0,0,0,0,0,0,0,0,0,3.4104173,0,0,0
22,13,1,0,0,0,0,0,0,0,0,0,3.6069367,0,0,0
17,8,1,0,1,0,0,0,0,0,0,0,3.5724695,0,0,0
26,17,1,0,0,2,0,0,0,0,0,0,3.8150723,0,0,0
21,12,1,0,0,0,0,0,0,0,0,0,3.4273336,0,0,0
20,11,1,0,0,0,0,0,0,0,0,0,3.5464394,0,0,0
17,8,1,0,1,0,0,0,0,0,0,0,3.5280643,0,0,0
20,11,1,0,0,0,0,0,0,0,0,0,3.4841838,0,0,0
23,14,1,0,0,0,0,0,0,0,0,0,3.9361804,0,0,0
22,13,1,0,3,0,0,0,0,0,0,0,3.879664,0,0,0
20,11,1,0,0,0,0,0,0,0,0,0,3.6464393,0,0,0
20,11,1,0,0,0,0,0,0,0,0,0,3.6841838,0,0,0
20,11,1,0,0,0,0,0,0,0,0,0,3.7841837,0,0,0
19,10,1,0,0,0,0,0,0,0,0,0,3.3918927,0,0,0
13,4,1,0,0,0,0,0,0,0,0,0,2.9689186,0,0,0
18,9,1,0,0,0,0,0,0,0,0,0,3.4613202,0,0,0
19,10,1,0,0,0,0,0,0,0,0,0,3.5368867,0,0,0
20,11,1,0,0,0,0,0,0,0,0,0,3.7841837,0,0,0
19,10,1,0,0,0,0,0,0,0,0,0,3.4713545,0,0,0
29,20,1,0,0,1,0,0,0,0,0,0,4.1591997,0,0,0
19,10,1,0,0,0,0,0,0,0,0,0,3.5766177,0,0,0
19,10,1,0,0,0,0,0,0,0,0,0,3.4713545,0,0,0
19,10,1,0,0,0,0,0,0,0,0,0,3.64215,0,0,0
20,11,1,0,0,0,0,0,0,0,0,0,3.7841837,0,0,0
19,10,1,0,0,0,0,0,0,0,0,0,3.6818807,0,0,0
18,9,1,0,2,0,0,0,0,0,0,0,3.6835423,0,0,0
19,10,1,0,0,0,0,0,0,0,0,0,3.787144,0,0,0
23,14,1,0,0,1,0,0,0,0,0,0,3.6096685,0,0,0
19,10,1,0,0,0,0,0,0,0,0,0,3.787144,0,0,0
22,13,1,0,0,1,0,0,0,0,0,0,3.845351,0,0,0
20,11,1,0,0,0,0,0,0,0,0,0,3.7841837,0,0,0
24,15,1,0,0,0,0,0,0,0,0,0,4.022055,0,0,0
20,11,1,0,0,0,0,0,0,0,0,0,3.6464393,0,0,0
23,14,1,0,0,0,0,0,0,0,0,0,3.7622674,0,0,0
20,11,1,0,0,0,0,0,0,0,0,0,3.6841838,0,0,0
20,11,1,0,0,0,0,0,0,0,0,0,3.5464394,0,0,0
19,10,1,0,0,0,0,0,0,0,0,0,3.6818807,0,0,0
