feature,shap_value,feature_value
subdomain_depth,-0.15319992664213763,0.0
n_hyphens,0.15229972177292592,1.0
host_len,0.1295214203466515,21.0
url_len,0.12486177365298515,30.0
path_len,-0.08283390713187656,1.0
n_digits,-0.008863436138740226,0.0
shannon_entropy_url,-0.008042460074405774,3.7777472
is_shortener,-0.0036074289052707054,0.0
n_special,-0.0029726278941506878,0.0
query_len,-0.0024699774971536203,0.0
suspicious_token_present,0.0002815288686551755,0.0
has_at,-0.00013111220340188777,0.0
pct_encoded,-7.211186524191121e-05,0.0
double_slash_in_path,-1.9193098065070232e-05,0.0
has_ip,0.0,0.0
