feature,shap_value,feature_value
shannon_entropy_url,0.1527059961842459,4.1591997
subdomain_depth,-0.1329209153403632,0.0
n_hyphens,0.11525791747821873,1.0
path_len,-0.0889787760418398,1.0
url_len,0.06061438799680424,29.0
host_len,0.050233731304967784,20.0
n_digits,-0.01668063544723371,0.0
n_special,-0.005323144219365405,0.0
query_len,-0.002813113465930492,0.0
suspicious_token_present,-0.0025152871135777385,0.0
is_shortener,-0.002199410035888122,0.0
has_at,-0.0001298294865653826,0.0
pct_encoded,-9.823475292879457e-05,0.0
double_slash_in_path,-1.9605145876524726e-05,0.0
has_ip,0.0,0.0
