feature,mean_abs_shap,rank
path_len,0.16499640130776794,1
subdomain_depth,0.14981498733801762,2
shannon_entropy_url,0.07190227824291572,3
url_len,0.06900333324665214,4
host_len,0.04566142735749491,5
n_digits,0.028291267244623164,6
n_hyphens,0.022300737144341703,7
n_special,0.007931074960400138,8
is_shortener,0.004643217257835688,9
query_len,0.0032095449237670728,10
suspicious_token_present,0.0005813013685986899,11
pct_encoded,0.0001229027831054026,12
has_at,0.00011712564088371012,13
double_slash_in_path,1.3569698897097298e-05,14
has_ip,0.0,15
