feature,shap_value,feature_value
path_len,-4.2162954105656,1.0
subdomain_depth,-2.5190780414830454,0.0
n_hyphens,1.839826489104276,1.0
host_len,1.0625433106620255,21.0
url_len,0.38796840367159463,30.0
shannon_entropy_url,-0.33469210110117226,3.7777472
n_digits,0.27874500638385713,0.0
n_special,-0.05928522845707723,0.0
query_len,-0.011782777932033396,0.0
suspicious_token_present,0.006528516723171815,0.0
has_ip,0.0,0.0
pct_encoded,0.0,0.0
has_at,0.0,0.0
double_slash_in_path,0.0,0.0
is_shortener,0.0,0.0
