feature,mean_abs_shap,rank
subdomain_depth,0.12963179903622016,1
path_len,0.11091890465517527,2
url_len,0.10837679429356165,3
shannon_entropy_url,0.07652351896822861,4
host_len,0.046458808217714996,5
n_digits,0.020925420083281198,6
n_hyphens,0.020649817761256132,7
n_special,0.009492948858010955,8
query_len,0.008040133897862515,9
is_shortener,0.0052660651368396025,10
suspicious_token_present,0.0007242504954797111,11
has_at,0.00018830145478312033,12
pct_encoded,7.275732111803366e-05,13
double_slash_in_path,1.2165502024792847e-05,14
has_ip,0.0,15
