feature,rf_mean_shap,xgb_mean_shap,lgbm_mean_shap,rf_rank,xgb_rank,lgbm_rank,avg_rank
path_len,0.16499640130776794,3.0571194,4.702921339543967,1,1,1,1.0
subdomain_depth,0.14981498733801762,2.605745,3.7937056326717924,2,2,2,2.0
shannon_entropy_url,0.07190227824291572,0.6948291,1.171845368210237,3,4,3,3.3333333333333335
url_len,0.06900333324665214,0.94977844,0.9008749727661912,4,3,4,3.6666666666666665
host_len,0.04566142735749491,0.3298781,0.8116281355044478,5,6,5,5.333333333333333
n_digits,0.028291267244623164,0.20706838,0.45272925572629563,6,7,6,6.333333333333333
n_hyphens,0.022300737144341703,0.41197854,0.3143743846201498,7,5,7,6.333333333333333
n_special,0.007931074960400138,0.07134098,0.07398960021588225,8,8,8,8.0
query_len,0.0032095449237670728,0.0028388442,0.02170202252531479,10,10,9,9.666666666666666
suspicious_token_present,0.0005813013685986899,0.003578121,0.017541756275263224,11,9,10,10.0
pct_encoded,0.0001229027831054026,0.0,0.0,12,12,12,12.0
has_ip,0.0,0.0,0.0,15,11,11,12.333333333333334
has_at,0.00011712564088371012,0.0,0.0,13,13,13,13.0
is_shortener,0.004643217257835688,0.0,0.0,9,15,15,13.0
double_slash_in_path,1.3569698897097298e-05,0.0,0.0,14,14,14,14.0
